gene,uniprot,O2:1%v21%_z,O2:1%v21%_rank,O2:5%v21%_z,O2:5%v21%_rank,O2:1%v5%_z,O2:1%v5%_rank,Vit:niacin_z,Vit:niacin_rank,Vit:riboflavin_z,Vit:riboflavin_rank,Vit:folate_z,Vit:folate_rank
PTEN,,-0.04,4027,-1.84,19883,2.59,262,-0.37,12688,-1.36,17715,0.2,7459
TPTE2,,-0.04,4773,0.3,1358,-0.46,19110,-0.63,14555,-0.3,12022,0.24,7063
TPTE,,-0.04,15534,0.02,13968,-0.05,13141,0.46,5640,0.71,4064,0.8,2937
TNS1,,-0.04,15732,0.02,16074,-0.05,12236,1.39,1292,1.48,1188,1.77,702
TNS3,,0.09,1783,0.35,1152,-0.2,16940,-1.55,18156,-0.52,13669,-0.4,13234
TNS2,,-0.04,9257,0.03,4609,-0.27,17547,-0.85,15859,-0.14,10670,-0.3,12303
GAK,,-0.04,9415,0.02,9369,-0.05,2376,-1.3,17613,-1.14,17069,-0.51,14160
DNAJC6,,-0.04,7213,0.02,7457,-0.05,8819,0.2,7798,0.22,7678,0.08,8584
PTPRE,,-0.04,14352,0.02,12758,-0.07,14035,-0.26,11788,-0.14,10646,-1.15,17491
PTPRF,,-0.04,3592,1.17,344,-0.06,13852,0.76,3680,0.39,6272,0.42,5474
PTPRA,,-0.52,19389,-0.94,19735,-0.05,4992,1.03,2411,-1.13,17035,0.85,2704
PTPRD,,-0.14,18167,-0.05,17919,-0.05,5557,-0.57,14178,-0.93,16203,-0.82,16168
PTPRS,,-0.04,3231,-0.43,19382,0.73,635,1.14,1983,0.06,8920,0.21,7389
CDC14B,,-0.04,11613,0.02,11301,-0.05,7619,1.81,606,-0.23,11448,-1.13,17411
PTPRT,,-0.04,5655,0.45,841,-0.26,17459,2.13,379,1.03,2540,0.84,2758
PTPRM,,-0.04,15229,0.02,14167,-0.05,3329,-0.63,14545,0.56,5011,0.22,7276
PTPRU,,-0.04,3855,1.15,362,-1.52,20012,-0.78,15499,-1.13,17044,0.41,5564
PTPRK,,-0.16,18433,0.02,13337,-0.12,15622,-0.16,10933,-0.24,11511,-0.14,10689
PTPRC,,-0.04,10834,0.02,12076,-0.05,8584,-0.16,10969,0.6,4719,1.04,1968
PTP4A1,,-0.04,16501,0.02,15037,-0.05,12025,-1.6,18236,1.53,1088,0.24,7102
