gene,acc,old_status,new_status,old_npub,new_npub,new_pmids,identity_terms,status_changed
SLC3A1,Q07837,confirmed,novel,3,2,24107421;16385448,Amino acid transporter heavy chain SLC3A1 | Neutral and basic amino acid transport protein | Solute carrier family 3 member 1 | SLC3A1,True
SCPEP1,Q9HB40,confirmed,novel,3,2,24586188;19187242,Retinoid-inducible serine carboxypeptidase | Serine carboxypeptidase 1 | SCPEP1,True
AIP,O00170,confirmed,novel,4,1,32005668,AH receptor-interacting protein | Aryl-hydrocarbon receptor-interacting protein | HBV X-associated protein 2 | Immunophilin homolog ARA9,True
IPP,Q9Y573,confirmed,uncharacterized,16,0,,Actin-binding protein IPP | Intracisternal A particle-promoted polypeptide | Kelch-like protein 27,True
HPR,P00739,confirmed,uncharacterized,5,0,,Haptoglobin-related protein,True
GEM,P55040,confirmed,uncharacterized,29,0,,GTP-binding protein GEM | GTP-binding mitogen-induced T-cell protein | RAS-like protein KIR,True
MAGT1,Q9H0U3,confirmed,novel,3,2,32451662;28720733,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1 | Oligosaccharyl transferase subunit MAGT1 | Implantation-associated protein | Magnesium transporter protein 1 | MAGT1,True
SLC3A2,P08195,confirmed,novel,3,1,26493331,Amino acid transporter heavy chain SLC3A2 | 4F2 cell-surface antigen heavy chain | 4F2 heavy chain antigen | Lymphocyte activation antigen 4F2 large subunit | Solute carrier family 3 member 2 | SLC3A2,True
EDEM1,Q92611,confirmed,novel,3,2,20065073;16987498,ER degradation-enhancing alpha-mannosidase-like protein 1 | EDEM1,True
PSMB4,P28070,confirmed,novel,3,2,37253751;31699366,Proteasome subunit beta type-4 | 26 kDa prosomal protein | Macropain beta chain | Multicatalytic endopeptidase complex beta chain | Proteasome beta chain | Proteasome chain 3 | Proteasome subunit beta-7 | PSMB4,True
PTPRN,Q16849,novel,uncharacterized,1,0,,Receptor-type tyrosine-protein phosphatase-like N | Islet cell antigen 512 | ICA 512 | Islet cell autoantigen 3 | PTP IA-2 | PTPRN,True
MMP15,P51511,novel,uncharacterized,1,0,,Matrix metalloproteinase-15 | Membrane-type matrix metalloproteinase 2 | MT-MMP 2 | Membrane-type-2 matrix metalloproteinase | MMP15,True
MMP16,P51512,novel,uncharacterized,2,0,,Matrix metalloproteinase-16 | Membrane-type matrix metalloproteinase 3 | MT-MMP 3 | Membrane-type-3 matrix metalloproteinase | MMP16,True
MMP17,Q9ULZ9,novel,confirmed,2,3,25963716;10799478;10543448,Matrix metalloproteinase-17 | Membrane-type matrix metalloproteinase 4 | MT-MMP 4 | Membrane-type-4 matrix metalloproteinase | MMP17,True
MMP21,Q8N119,novel,uncharacterized,1,0,,Matrix metalloproteinase-21 | MMP21,True
CIT,O14578,novel,uncharacterized,2,0,,Citron Rho-interacting kinase | Serine/threonine-protein kinase 21,True
PXK,Q7Z7A4,novel,uncharacterized,1,0,,"PX domain-containing protein kinase-like protein | Modulator of Na,K-ATPase",True
FKBP10,Q96AY3,novel,uncharacterized,1,0,,Peptidyl-prolyl cis-trans isomerase FKBP10 | PPIase FKBP10 | 65 kDa FK506-binding protein | 65 kDa FKBP | FK506-binding protein 10 | Immunophilin FKBP65 | FKBP10,True
PTER,Q96BW5,novel,uncharacterized,2,0,,N-acetyltaurine hydrolase | Phosphotriesterase-related protein | PTER,True
KL,Q9UEF7,novel,confirmed,9,3,39071912;29342135;14701853,Klotho,True
AZU1,P20160,novel,confirmed,2,7,42044645;41007875;40780678;34646891;18627314,Azurocidin | Cationic antimicrobial protein CAP37 | Heparin-binding protein | AZU1,True
HP,P00738,novel,confirmed,32,8,32575434;30771932;27645932;26167985;9488469,Haptoglobin,True
RAB25,P57735,novel,uncharacterized,2,0,,Ras-related protein Rab-25 | RAB25,True
BDH1,Q02338,novel,confirmed,1,5,26753612;10933785;8679568;8615695;3013239,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial | 3-hydroxybutyrate dehydrogenase | Short chain dehydrogenase/reductase family 9C member 1 | BDH1",True
CA11,O75493,novel,confirmed,1,3,24146378;23294106;10350627,Carbonic anhydrase-related protein 11 | CA-RP XI | CARP XI | Carbonic anhydrase-related protein 2 | CA-RP II | CA11,True
PDIA5,Q14554,novel,confirmed,2,3,36567215;23614004;23376096,Protein disulfide-isomerase A5 | Protein disulfide isomerase-related protein | PDIA5,True
TXN,P10599,novel,confirmed,1,208,42372043;42011616;41750332;41283572;40847597,Thioredoxin | ATL-derived factor | Surface-associated sulphydryl protein | allergen Hom s Trx,True
NXN,Q6DKJ4,novel,uncharacterized,2,0,,Nucleoredoxin,True
ERP29,P30040,novel,uncharacterized,1,0,,Endoplasmic reticulum resident protein 29 | Endoplasmic reticulum resident protein 28 | Endoplasmic reticulum resident protein 31 | ERP29,True
MSRB3,Q8IXL7,novel,uncharacterized,1,0,,Methionine-R-sulfoxide reductase B3 | MSRB3,True
MSRB2,Q9Y3D2,novel,uncharacterized,1,0,,"Methionine-R-sulfoxide reductase B2, mitochondrial | MSRB2",True
TFRC,P02786,novel,confirmed,1,3,40886370;26029847;12097266,Transferrin receptor protein 1 | Transferrin receptor 1 | TFRC,True
PA2G4,Q9UQ80,novel,uncharacterized,1,0,,Proliferation-associated protein 2G4 | Cell cycle protein p38-2G4 homolog | ErbB3-binding protein 1 | PA2G4,True
ACP5,P13686,novel,uncharacterized,1,0,,Tartrate-resistant acid phosphatase type 5 | Tartrate-resistant acid ATPase | Type 5 acid phosphatase | ACP5,True
ALDH16A1,Q8IZ83,novel,confirmed,2,3,30529746;28254523;23348497,Aldehyde dehydrogenase family 16 member A1 | ALDH16A1,True
PSMB1,P20618,novel,confirmed,2,3,41463121;22564728;9311996,Proteasome subunit beta type-1 | Macropain subunit C5 | Multicatalytic endopeptidase complex subunit C5 | Proteasome component C5 | Proteasome gamma chain | Proteasome subunit beta-6 | PSMB1,True
CKM,P06732,novel,uncharacterized,1,0,,Creatine kinase M-type | Creatine kinase M chain | Creatine phosphokinase M-type,True
CHI3L1,P36222,confirmed,confirmed,7,13,40769579;39795077;38750795;38605414;33920100,Chitinase-3-like protein 1 | 39 kDa synovial protein | Cartilage glycoprotein 39 | CHI3L1,False
TPO,P07202,confirmed,confirmed,21,9,37699049;24829575;23668778;16843823;10446374,Thyroid peroxidase,False
CYP2A13,Q16696,confirmed,confirmed,3,3,22869927;22315333;15333516,Cytochrome P450 2A13 | CYP2A13,False
CYP4B1,P13584,confirmed,confirmed,3,3,40577420;12639503;9566728,Cytochrome P450 4B1 | Cytochrome P450 CYP4B1 | Cytochrome P450-HP | CYP4B1,False
