gene,uniprot,text_call,confidence,text_dead_final,rationale_pass2,func_excerpt
PTEN,P60484,active,high,False,,"Dual-specificity protein phosphatase, dephosphorylating tyrosine-, serine- and threonine-phosphorylated proteins. Also f"
TPTE2,Q6XPS3,active,high,False,,"Acts as a lipid phosphatase, removing the phosphate in the D3 position of the inositol ring from phosphatidylinositol 3,"
TPTE,P56180,ambiguous,low,False,,Could be involved in signal transduction.
TNS1,Q9HBL0,ambiguous,med,False,,May act as a protein phosphatase and/or a lipid phosphatase (Probable). Involved in fibrillar adhesion formation. Essent
TNS3,Q68CZ2,ambiguous,med,False,,May act as a protein phosphatase and/or a lipid phosphatase (Probable). Involved in the dissociation of the integrin-ten
TNS2,Q63HR2,active,high,False,,"Tyrosine-protein phosphatase which regulates cell motility, proliferation and muscle-response to insulin. Phosphatase ac"
GAK,O14976,ambiguous,med,False,,Associates with cyclin G and CDK5. Seems to act as an auxilin homolog that is involved in the uncoating of clathrin-coat
DNAJC6,O75061,ambiguous,med,False,,May act as a protein phosphatase and/or a lipid phosphatase. Co-chaperone that recruits HSPA8/HSC70 to clathrin-coated v
PTPRE,P23469,ambiguous,high,False,,Isoform 1 plays a critical role in signaling transduction pathways and phosphoprotein network topology in red blood cell
PTPRF,P10586,active,high,False,,Possible cell adhesion receptor. It possesses an intrinsic protein tyrosine phosphatase activity (PTPase) and dephosphor
PTPRA,P18433,active,high,False,,Tyrosine protein phosphatase which is involved in integrin-mediated focal adhesion formation (By similarity). Following 
PTPRD,P23468,active,high,False,,Can bidirectionally induce pre- and post-synaptic differentiation of neurons by mediating interaction with IL1RAP and IL
PTPRS,Q13332,ambiguous,med,False,,"Cell surface receptor that binds to glycosaminoglycans, including chondroitin sulfate proteoglycans and heparan sulfate "
CDC14C,A4D256,active,high,False,,Dual-specificity phosphatase. Preferentially dephosphorylates proteins modified by proline-directed kinases (By similari
CDC14B,O60729,active,high,False,,Dual-specificity phosphatase involved in DNA damage response. Essential regulator of the G2 DNA damage checkpoint: follo
PTPRT,O14522,ambiguous,high,False,,May be involved in both signal transduction and cellular adhesion in the CNS.
PTPRM,P28827,active,high,False,,Receptor protein-tyrosine phosphatase that mediates homotypic cell-cell interactions and plays a role in adipogenic diff
PTPRU,Q92729,active,high,False,,Tyrosine-protein phosphatase which dephosphorylates CTNNB1. Regulates CTNNB1 function both in cell adhesion and signalin
PTPRK,Q15262,ambiguous,med,False,,"Regulation of processes involving cell contact and adhesion such as growth control, tumor invasion, and metastasis. Nega"
