target_acc,gene,home_family_name,mr_top_class,pocket_retention,struct_conf,metabolite_relevance,metabolite_relevance_bin,mr_rank,override_pos,sensor_priority
Q96EY9,ADAT3,cytosine deaminase (yeast),substrate/ligand(other),1.0,1.0,1.0,high,1,False,0.0
Q9NWL6,ASNSD1,(carboxyethyl)arginine beta-lactam-synthase,nucleotide(ATP/ADP/AMP),0.83,1.0,0.83,high,2,True,0.83
Q9NRG1,PRTFDC1,hypoxanthine phosphoribosyltransferase,substrate/ligand(other),0.86,0.9377777777777778,0.8065,high,3,True,0.8065
Q0VDF9,HSPA14,adenosinetriphosphatase,nucleotide(ATP/ADP/AMP),0.75,1.0,0.75,high,4,True,0.75
P04062,GBA1,glucosylceramidase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P04053,DNTT,DNA nucleotidylexotransferase,metal,1.0,0.7,0.7,high,5,False,0.0
Q03393,PTS,6-pyruvoyltetrahydropterin synthase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9BXR0,QTRT1,tRNA-guanine transglycosylase,metal,1.0,0.7,0.7,high,5,False,0.0
O75164,KDM4A,lysine-specific [histone H3] demethylase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9H3R0,KDM4C,lysine-specific [histone H3] demethylase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q04756,HGFAC,t-plasminogen activator,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9NP87,POLM,DNA nucleotidylexotransferase,metal,1.0,0.7,0.7,high,5,False,0.0
Q7L5Y1,ENOSF1,L-fuconate dehydratase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9H974,QTRT2,tRNA-guanine transglycosylase,metal,1.0,0.7,0.7,high,5,False,0.0
P08236,GUSB,beta-glucuronidase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q16836,HADH,L-3-hydroxyacyl-CoA dehydrogenase,redox-cofactor(NAD),1.0,0.7,0.7,high,5,False,0.0
P00387,CYB5R3,cytochrome-b5 reductase,redox-cofactor(FAD),1.0,0.7,0.7,high,5,False,0.0
P08473,MME,neprilysin,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P47712,PLA2G4A,phospholipase A2 (group group IVA),metal,1.0,0.7,0.7,high,5,False,0.0
Q6NVY1,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P09104,ENO2,phosphopyruvate hydratase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q6PCE3,PGM2L1,phosphomannomutase/ phosphoglucomutase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q8WXG1,RSAD2,Viperin,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P06733,ENO1,phosphopyruvate hydratase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P04181,OAT,ornithine aminotransferase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P53041,PPP5C,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P08069,IGF1R,receptor protein-tyrosine kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P06213,INSR,receptor protein-tyrosine kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P48454,PPP3CC,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q08209,PPP3CA,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P67775,PPP2CA,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P62714,PPP2CB,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
O60333,KIF1B,plus-end-directed kinesin ATPase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P16930,FAH,fumarylacetoacetase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q96G03,PGM2,phosphomannomutase/ phosphoglucomutase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q12756,KIF1A,plus-end-directed kinesin ATPase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
O43896,KIF1C,plus-end-directed kinesin ATPase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P31153,MAT2A,methionine adenosyltransferase,methyl-donor(SAM/SAH),1.0,0.7,0.7,high,5,False,0.0
Q96GX9,APIP,L-ribulose-5-phosphate 4-epimerase,metal,1.0,0.7,0.7,high,5,False,0.0
Q00266,MAT1A,methionine adenosyltransferase,methyl-donor(SAM/SAH),1.0,0.7,0.7,high,5,False,0.0
