target_acc,gene,home_family_name,mr_top_class,expected_cofactor,experimental_channel,channel_note,cofactor_predicted,cofactor_observed,n_cof_observed,cofactor_concordance,override_pos,metabolite_relevance
P60484,PTEN,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,PLP;PQQ;THF;ascorbic_acid,4,no_prediction,True,0.0
Q6XPS3,TPTE2,dual-specificity phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P56180,TPTE,dual-specificity phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q9HBL0,TNS1,dual-specificity phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
Q68CZ2,TNS3,dual-specificity phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;PQQ;THF,5,no_prediction,False,0.0
Q63HR2,TNS2,dual-specificity phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
O14976,GAK,dual-specificity phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;PLP;PQQ;THF,6,no_prediction,False,0.0
O75061,DNAJC6,dual-specificity phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,THF;biotin,2,no_prediction,True,0.0
P23469,PTPRE,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P10586,PTPRF,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FMN;PQQ;THF,3,no_prediction,False,0.0
P18433,PTPRA,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,PQQ;THF,2,no_prediction,False,0.0
P23468,PTPRD,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q13332,PTPRS,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;NADH;NADPH;PQQ;THF;ascorbic_acid,7,no_prediction,False,0.0
A4D256,CDC14C,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
O60729,CDC14B,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
O14522,PTPRT,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P28827,PTPRM,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,THF,1,no_prediction,False,0.0
Q92729,PTPRU,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,PQQ,1,no_prediction,False,0.0
Q15262,PTPRK,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FAD;FMN;NADH;PQQ;THF;ascorbic_acid,6,no_prediction,False,0.0
P08575,PTPRC,protein-tyrosine-phosphatase non-receptor type 1,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0822
Q93096,PTP4A1,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA,1,no_prediction,False,0.0
Q12974,PTP4A2,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;THF;TPP;ascorbic_acid,4,no_prediction,False,0.0
Q9UNH5,CDC14A,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
O75365,PTP4A3,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q9HD43,PTPRH,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P23471,PTPRZ1,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P23470,PTPRG,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P23467,PTPRB,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q15256,PTPRR,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q16827,PTPRO,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q12913,PTPRJ,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q4JDL3,PTPN20,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P35236,PTPN7,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q9UMZ3,PTPRQ,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P29074,PTPN4,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P29350,PTPN6,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P54829,PTPN5,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q06124,PTPN11,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;PLP;PQQ,5,no_prediction,False,0.0
A2A3K4,PTPDC1,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FAD;PQQ;THF,3,no_prediction,False,0.0
P43378,PTPN9,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;PQQ;THF;biotin,6,no_prediction,False,0.0
P26045,PTPN3,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FAD;FMN;PQQ;THF,4,no_prediction,False,0.0
Q15678,PTPN14,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FAD;FMN;PLP;PQQ;THF;TPP,6,no_prediction,False,0.0
Q9BVJ7,DUSP23,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q12923,PTPN13,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FMN;NADH;PLP;PQQ,4,no_prediction,False,0.0
Q9Y2R2,PTPN22,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q92932,PTPRN2,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
Q05209,PTPN12,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;NADP;PLP;THF,6,no_prediction,False,0.0
Q99952,PTPN18,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FMN;NADH;PQQ;THF;ascorbic_acid,6,no_prediction,False,0.0
O75319,DUSP11,dual-specificity phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;NADH;PQQ;THF;ascorbic_acid,7,no_prediction,True,0.0
Q16825,PTPN21,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,PQQ,1,no_prediction,False,0.0
Q16667,CDKN3,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FAD;FMN,2,no_prediction,False,0.0
Q16849,PTPRN,protein-tyrosine-phosphatase non-receptor type 1,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.1892
O60942,RNGTT,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;NADH;NADPH;PQQ;THF;ascorbic_acid;folinic_acid,9,no_prediction,False,0.0
Q8WUK0,PTPMT1,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;THF,2,no_prediction,False,0.0
P17706,PTPN2,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;NADH;NADPH;PQQ;THF;ascorbic_acid,8,no_prediction,False,0.0
P18031,PTPN1,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FAD;FMN;NADH;NADPH;PQQ;THF;ascorbic_acid,7,no_prediction,False,0.0
Q9H3S7,PTPN23,Classical protein-tyrosine phosphatase (PTP1B),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,FAD;FMN;PLP;PQQ;TPP,5,no_prediction,False,0.0
P51452,DUSP3,Dual-specificity phosphatase (VHR/DUSP3),phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;NADH;NADPH;PLP;PQQ;THF;TPP;ascorbic_acid;folinic_acid,11,no_prediction,False,0.0
P04746,AMY2A,"glucan 1,4-alpha-maltohydrolase",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.20475000000000002
P0DTE7,AMY1B,"glucan 1,4-alpha-maltohydrolase",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.189
P0DTE8,AMY1C,"glucan 1,4-alpha-maltohydrolase",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.189
P0DUB6,AMY1A,"glucan 1,4-alpha-maltohydrolase",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.189
P19961,AMY2B,"glucan 1,4-alpha-maltohydrolase",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.261
Q07837,SLC3A1,isomaltulose synthase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
Q9NRX4,PHPT1,phosphohistidine phosphatase,phosphoprotein/lipid,,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;MeB12;NADH;NADPH;THF;TPP;biotin,9,no_prediction,False,0.0
P19835,CEL,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.22365
Q8NFZ3,NLGN4Y,triacylglycerol lipase (type B carboxylestrase),substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.02472
Q8N0W4,NLGN4X,triacylglycerol lipase (type B carboxylestrase),substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.025320000000000002
Q8NFZ4,NLGN2,triacylglycerol lipase (type B carboxylestrase),substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.023279999999999995
Q9NZ94,NLGN3,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.10444
Q8N2Q7,NLGN1,triacylglycerol lipase (type B carboxylestrase),substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.025740000000000002
Q5XG92,CES4A,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.10710000000000001
P06276,BCHE,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0378
P23141,CES1,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.06615
